"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - Euro (IRS.M.U2.L.L40.CI.0000.EUR.N.Z)"
"1990-12-31","1990Dec","9.31"
"1991-01-31","1991Jan","9.32"
"1991-02-28","1991Feb","8.75"
"1991-03-31","1991Mar","9.98"
"1991-04-30","1991Apr","9.83"
"1991-05-31","1991May","9.73"
"1991-06-30","1991Jun","9.82"
"1991-07-31","1991Jul","9.99"
"1991-08-31","1991Aug","10.01"
"1991-09-30","1991Sep","9.79"
"1991-10-31","1991Oct","9.67"
"1991-11-30","1991Nov","9.93"
"1991-12-31","1991Dec","9.90"
"1992-01-31","1992Jan","9.59"
"1992-02-29","1992Feb","9.53"
"1992-03-31","1992Mar","9.59"
"1992-04-30","1992Apr","9.66"
"1992-05-31","1992May","9.61"
"1992-06-30","1992Jun","9.83"
"1992-07-31","1992Jul","10.06"
"1992-08-31","1992Aug","10.16"
"1992-09-30","1992Sep","10.10"
"1992-10-31","1992Oct","9.99"
"1992-11-30","1992Nov","9.62"
"1992-12-31","1992Dec","9.62"
"1993-01-31","1993Jan","9.31"
"1993-02-28","1993Feb","9.02"
"1993-03-31","1993Mar","8.75"
"1993-04-30","1993Apr","8.77"
"1993-05-31","1993May","8.66"
"1993-06-30","1993Jun","8.34"
"1993-07-31","1993Jul","8.11"
"1993-08-31","1993Aug","7.56"
"1993-09-30","1993Sep","7.33"
"1993-10-31","1993Oct","7.06"
"1993-11-30","1993Nov","7.10"
"1993-12-31","1993Dec","6.86"
"1994-01-31","1994Jan","6.70"
"1994-02-28","1994Feb","6.89"
"1994-03-31","1994Mar","7.37"
"1994-04-30","1994Apr","7.49"
"1994-05-31","1994May","7.78"
"1994-06-30","1994Jun","8.40"
"1994-07-31","1994Jul","8.42"
"1994-08-31","1994Aug","8.71"
"1994-09-30","1994Sep","9.16"
"1994-10-31","1994Oct","9.19"
"1994-11-30","1994Nov","9.15"
"1994-12-31","1994Dec","9.18"
"1995-01-31","1995Jan","9.38"
"1995-02-28","1995Feb","9.23"
"1995-03-31","1995Mar","9.47"
"1995-04-30","1995Apr","9.30"
"1995-05-31","1995May","8.82"
"1995-06-30","1995Jun","8.79"
"1995-07-31","1995Jul","8.75"
"1995-08-31","1995Aug","8.51"
"1995-09-30","1995Sep","8.40"
"1995-10-31","1995Oct","8.52"
"1995-11-30","1995Nov","8.19"
"1995-12-31","1995Dec","7.85"
"1996-01-31","1996Jan","7.47"
"1996-02-29","1996Feb","7.69"
"1996-03-31","1996Mar","7.86"
"1996-04-30","1996Apr","7.64"
"1996-05-31","1996May","7.50"
"1996-06-30","1996Jun","7.54"
"1996-07-31","1996Jul","7.41"
"1996-08-31","1996Aug","7.34"
"1996-09-30","1996Sep","7.15"
"1996-10-31","1996Oct","6.70"
"1996-11-30","1996Nov","6.44"
"1996-12-31","1996Dec","6.32"
"1997-01-31","1997Jan","6.24"
"1997-02-28","1997Feb","6.07"
"1997-03-31","1997Mar","6.33"
"1997-04-30","1997Apr","6.39"
"1997-05-31","1997May","6.19"
"1997-06-30","1997Jun","6.09"
"1997-07-31","1997Jul","5.84"
"1997-08-31","1997Aug","5.95"
"1997-09-30","1997Sep","5.81"
"1997-10-31","1997Oct","5.77"
"1997-11-30","1997Nov","5.75"
"1997-12-31","1997Dec","5.47"
"1998-01-31","1998Jan","5.23"
"1998-02-28","1998Feb","5.13"
"1998-03-31","1998Mar","5.01"
"1998-04-30","1998Apr","5.00"
"1998-05-31","1998May","5.06"
"1998-06-30","1998Jun","4.92"
"1998-07-31","1998Jul","4.82"
"1998-08-31","1998Aug","4.59"
"1998-09-30","1998Sep","4.28"
"1998-10-31","1998Oct","4.25"
"1998-11-30","1998Nov","4.25"
"1998-12-31","1998Dec","3.96"
"1999-01-31","1999Jan","3.81"
"1999-02-28","1999Feb","3.95"
"1999-03-31","1999Mar","4.16"
"1999-04-30","1999Apr","3.99"
"1999-05-31","1999May","4.17"
"1999-06-30","1999Jun","4.50"
"1999-07-31","1999Jul","4.83"
"1999-08-31","1999Aug","5.04"
"1999-09-30","1999Sep","5.20"
"1999-10-31","1999Oct","5.44"
"1999-11-30","1999Nov","5.17"
"1999-12-31","1999Dec","5.28"
"2000-01-31","2000Jan","5.67"
"2000-02-29","2000Feb","5.64"
"2000-03-31","2000Mar","5.47"
"2000-04-30","2000Apr","5.36"
"2000-05-31","2000May","5.53"
"2000-06-30","2000Jun","5.36"
"2000-07-31","2000Jul","5.44"
"2000-08-31","2000Aug","5.40"
"2000-09-30","2000Sep","5.45"
"2000-10-31","2000Oct","5.40"
"2000-11-30","2000Nov","5.34"
"2000-12-31","2000Dec","5.09"
"2001-01-31","2001Jan","4.99"
"2001-02-28","2001Feb","4.99"
"2001-03-31","2001Mar","4.90"
"2001-04-30","2001Apr","5.06"
"2001-05-31","2001May","5.26"
"2001-06-30","2001Jun","5.20"
"2001-07-31","2001Jul","5.22"
"2001-08-31","2001Aug","5.02"
"2001-09-30","2001Sep","5.01"
"2001-10-31","2001Oct","4.78"
"2001-11-30","2001Nov","4.63"
"2001-12-31","2001Dec","4.90"
"2002-01-31","2002Jan","4.99"
"2002-02-28","2002Feb","5.05"
"2002-03-31","2002Mar","5.29"
"2002-04-30","2002Apr","5.28"
"2002-05-31","2002May","5.30"
"2002-06-30","2002Jun","5.15"
"2002-07-31","2002Jul","5.00"
"2002-08-31","2002Aug","4.72"
"2002-09-30","2002Sep","4.51"
"2002-10-31","2002Oct","4.60"
"2002-11-30","2002Nov","4.58"
"2002-12-31","2002Dec","4.41"
"2003-01-31","2003Jan","4.25"
"2003-02-28","2003Feb","4.03"
"2003-03-31","2003Mar","4.08"
"2003-04-30","2003Apr","4.22"
"2003-05-31","2003May","3.90"
"2003-06-30","2003Jun","3.70"
"2003-07-31","2003Jul","4.03"
"2003-08-31","2003Aug","4.19"
"2003-09-30","2003Sep","4.23"
"2003-10-31","2003Oct","4.28"
"2003-11-30","2003Nov","4.41"
"2003-12-31","2003Dec","4.35"
"2004-01-31","2004Jan","4.22"
"2004-02-29","2004Feb","4.18"
"2004-03-31","2004Mar","4.00"
"2004-04-30","2004Apr","4.19"
"2004-05-31","2004May","4.35"
"2004-06-30","2004Jun","4.41"
"2004-07-31","2004Jul","4.31"
"2004-08-31","2004Aug","4.15"
"2004-09-30","2004Sep","4.10"
"2004-10-31","2004Oct","3.98"
"2004-11-30","2004Nov","3.86"
"2004-12-31","2004Dec","3.65"
"2005-01-31","2005Jan","3.60"
"2005-02-28","2005Feb","3.59"
"2005-03-31","2005Mar","3.74"
"2005-04-30","2005Apr","3.54"
"2005-05-31","2005May","3.38"
"2005-06-30","2005Jun","3.22"
"2005-07-31","2005Jul","3.28"
"2005-08-31","2005Aug","3.30"
"2005-09-30","2005Sep","3.14"
"2005-10-31","2005Oct","3.30"
"2005-11-30","2005Nov","3.51"
"2005-12-31","2005Dec","3.40"
"2006-01-31","2006Jan","3.38"
"2006-02-28","2006Feb","3.53"
"2006-03-31","2006Mar","3.72"
"2006-04-30","2006Apr","3.98"
"2006-05-31","2006May","4.04"
"2006-06-30","2006Jun","4.05"
"2006-07-31","2006Jul","4.08"
"2006-08-31","2006Aug","3.95"
"2006-09-30","2006Sep","3.83"
"2006-10-31","2006Oct","3.86"
"2006-11-30","2006Nov","3.79"
"2006-12-31","2006Dec","3.85"
"2007-01-31","2007Jan","4.10"
"2007-02-28","2007Feb","4.12"
"2007-03-31","2007Mar","4.02"
